                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.96897,                0.71965,                      0,                 1.0398,                0.79438,                      0,                 0.5016,                0.42669,                0.38533,                0.19328,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022287,             0.00022287,             0.00022287
                     80,                 1.0182,                 0.7183,                      0,                 1.0978,                0.79161,                      0,                0.51919,                0.47377,                0.42935,                0.20558,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020603,             0.00020603,             0.00020603
                     81,                0.95972,                0.67157,                      0,                 1.0394,                0.74704,                      0,                0.58664,                0.39801,                0.41731,                 0.1985,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018983,             0.00018983,             0.00018983
                     82,                0.96464,                0.66485,                      0,                 1.0296,                0.73358,                      0,                0.55068,                0.41313,                0.41868,                0.20609,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017426,             0.00017426,             0.00017426
                     83,                0.93361,                0.67683,                      0,                 1.0382,                0.75299,                      0,                0.45399,                0.45585,                0.38918,                0.20198,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015936,             0.00015936,             0.00015936
                     84,                0.96153,                0.67123,                      0,                 1.0186,                0.72189,                      0,                0.48356,                0.44438,                0.40017,                0.20556,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014513,             0.00014513,             0.00014513
                     85,                0.94341,                0.66201,                      0,                 1.0029,                0.70187,                      0,                0.46002,                0.47355,                0.39845,                 0.2058,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013158,             0.00013158,             0.00013158
                     86,                0.88879,                0.63079,                      0,                0.96464,                 0.6739,                      0,                0.50527,                0.44908,                0.41271,                0.20341,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011874,             0.00011874,             0.00011874
                     87,                 0.8749,                0.64864,                      0,                0.97208,                0.68867,                      0,                0.52516,                0.45083,                0.41351,                0.20709,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010661,             0.00010661,             0.00010661
                     88,                0.86933,                0.62567,                      0,                0.94649,                0.70113,                      0,                0.54041,                0.44338,                0.41459,                0.21037,                      0,                      0,                      0,                      0,                      0,                      0,             9.5203e-05,             9.5203e-05,             9.5203e-05
